rank,name,area,genre,star,rvw_count,dinner_budget,lunch_budget,holiday_data,search_word,pr,review,url,total,divided,img
22,レストラン マノワ,広尾駅 592m,"['フレンチ', 'モダンフレンチ', 'レストラン（その他）', '\n              オーナーがハンターで、ジビエが美味い、サステナブルなフレンチレストラン！\n            \n右手']",3.82,461,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              オーナーがハンターで、ジビエが美味い、サステナブルなフレンチレストラン！
            ","
右手",https://tabelog.com/tokyo/A1303/A130302/13133477/,"['フレンチ', 'モダンフレンチ', 'レストラン（その他）', '\n              オーナーがハンターで、ジビエが美味い、サステナブルなフレンチレストラン！\n            \n右手']","['オーナー', 'ハンター', 'ジビエ', '美味い', 'サステナブル', 'フレンチ', 'レストラン']","['70654605,180578930,109047917,75239555,158508595']"
24,鮨 利﨑,代々木公園駅 648m,"['寿司', '魚介料理・海鮮料理', '\n              今話題の“奥渋”エリアで美食家たちを唸らせる注目の寿司屋。気鋭の職人による自在な握りに舌鼓\n            \nテンポがいいおいしいお鮨']",3.82,166,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">日曜日・祝日</span>",['感染症対策'],"
              今話題の“奥渋”エリアで美食家たちを唸らせる注目の寿司屋。気鋭の職人による自在な握りに舌鼓
            ","
テンポがいいおいしいお鮨",https://tabelog.com/tokyo/A1303/A130301/13235258/,"['寿司', '魚介料理・海鮮料理', '\n              今話題の“奥渋”エリアで美食家たちを唸らせる注目の寿司屋。気鋭の職人による自在な握りに舌鼓\n            \nテンポがいいおいしいお鮨']","['話題', '奥', '渋', 'エリア', '美食', '家', 'たち', '注目', '寿司', '屋', '気鋭', '職人', '自在', '握り', '舌鼓']","['111954969,111394736,111394737,115774353,115774355']"
25,AMOUR,恵比寿駅 422m,"['フレンチ', 'モダンフレンチ', '\n              恵比寿の端正な一軒家。四季折々の国産食材が、研鑽を積んだフレンチの技と繊細に溶け合う。\n            \nオマールのビスクに感激、衝撃、耽溺したのだ、の巻']",3.81,138,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""list-rst__holiday-text"">水曜日を中心に月6~8日(お問い合わせくださいませ)</span>",['感染症対策'],"
              恵比寿の端正な一軒家。四季折々の国産食材が、研鑽を積んだフレンチの技と繊細に溶け合う。
            ","
オマールのビスクに感激、衝撃、耽溺したのだ、の巻",https://tabelog.com/tokyo/A1303/A130302/13142028/,"['フレンチ', 'モダンフレンチ', '\n              恵比寿の端正な一軒家。四季折々の国産食材が、研鑽を積んだフレンチの技と繊細に溶け合う。\n            \nオマールのビスクに感激、衝撃、耽溺したのだ、の巻']","['恵比寿', '端正', '一軒家', '四季', '国産', '食材', '研鑽', 'フレンチ', '技', '繊細']","['71928915,71928919,71928914,71928916,71928913']"
28,マダム・トキ,代官山駅 643m,"['フレンチ', '\n              1978年オープン 代官山、閑静な佇まいの一軒家レストラン。五感で楽しむフレンチに舌鼓\n            \n安く楽しめるクラシカルなフレンチ( ´艸｀)']",3.80,505,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥6,000～￥7,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              1978年オープン 代官山、閑静な佇まいの一軒家レストラン。五感で楽しむフレンチに舌鼓
            ","
安く楽しめるクラシカルなフレンチ( ´艸｀)",https://tabelog.com/tokyo/A1303/A130303/13001707/,"['フレンチ', '\n              1978年オープン 代官山、閑静な佇まいの一軒家レストラン。五感で楽しむフレンチに舌鼓\n            \n安く楽しめるクラシカルなフレンチ( ´艸｀)']","['1978', '年', 'オープン', '代官山', '閑静', '佇まい', '一軒家', 'レストラン', '五', '感', 'フレンチ', '舌鼓']","['58257357,58257219,86858858,96798596,58151257']"
30,abysse,代官山駅 194m,"['フレンチ', 'モダンフレンチ', '\n              abysse | modern seafood cuisine\n            \n【Plat complet de poissons et crustaces : 魚介類の料理...']",3.80,99,"<span class=""c-rating-v3__val"">￥20,000～￥29,999</span>","<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""list-rst__holiday-text"">水曜日</span>",,"
              abysse | modern seafood cuisine
            ","
【Plat complet de poissons et crustaces : 魚介類の料理...",https://tabelog.com/tokyo/A1303/A130302/13232482/,"['フレンチ', 'モダンフレンチ', '\n              abysse | modern seafood cuisine\n            \n【Plat complet de poissons et crustaces : 魚介類の料理...']","['abysse', 'modern', 'seafood', 'cuisine']","['130415860,114667271,156016106,119452792,130400815']"
31,メゾン ポール・ボキューズ,代官山駅 454m,"['フレンチ', 'モダンフレンチ', 'イノベーティブ・フュージョン', '\n              フランス料理界の巨匠「ポール・ボキューズ」の世界をご堪能ください\n            \nメゾン一刻']",3.79,396,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥4,000～￥4,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              フランス料理界の巨匠「ポール・ボキューズ」の世界をご堪能ください
            ","
メゾン一刻",https://tabelog.com/tokyo/A1303/A130303/13040327/,"['フレンチ', 'モダンフレンチ', 'イノベーティブ・フュージョン', '\n              フランス料理界の巨匠「ポール・ボキューズ」の世界をご堪能ください\n            \nメゾン一刻']","['フランス', '料理', '界', '巨匠', 'ポールボキューズ', '世界', '堪能']","['119322698,119322735,84124848,90332010,90332048']"
32,セルサルサーレ,代官山駅 315m,"['イタリアン', '無国籍料理', '割烹・小料理', '\n              ※2022年12月1日より、コース価格を改定させていただきます。ご了承くださいませ。\n            \n濱口シェフの料理に感動しっぱなし']",3.79,232,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">月曜</span>",['感染症対策'],"
              ※2022年12月1日より、コース価格を改定させていただきます。ご了承くださいませ。
            ","
濱口シェフの料理に感動しっぱなし",https://tabelog.com/tokyo/A1303/A130302/13166739/,"['イタリアン', '無国籍料理', '割烹・小料理', '\n              ※2022年12月1日より、コース価格を改定させていただきます。ご了承くださいませ。\n            \n濱口シェフの料理に感動しっぱなし']","['2022', '年', '12', '月', '1', '日', 'コース', '価格', '改定', '了承']","['122392361,122392405,122392359,122392357,122392389']"
38,Ata,代官山駅 535m,"['ビストロ', '\n              白ワイン片手に、豪快に魚介を食らう。""食べる楽しさ""を追求した気取らないフレンチビストロ\n            \nアットホームで恰好つけない癖に、憎いぐらい可憐で美味しい実力派ビストロ！']",3.78,464,"<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""c-rating-v3__val"">￥5,000～￥5,999</span>",,"['感染症対策', 'Tpoint貯まる']","
              白ワイン片手に、豪快に魚介を食らう。""食べる楽しさ""を追求した気取らないフレンチビストロ
            ","
アットホームで恰好つけない癖に、憎いぐらい可憐で美味しい実力派ビストロ！",https://tabelog.com/tokyo/A1303/A130303/13150975/,"['ビストロ', '\n              白ワイン片手に、豪快に魚介を食らう。""食べる楽しさ""を追求した気取らないフレンチビストロ\n            \nアットホームで恰好つけない癖に、憎いぐらい可憐で美味しい実力派ビストロ！']","['白', 'ワイン', '片手', '豪快', '魚介', '楽し', 'さ', '追求', 'フレンチビストロ']","['76926936,76926937,76926941,76926945,76926946']"
39,パティスリー イル・プルー・シュル・ラ・セーヌ,代官山駅 454m,"['ケーキ', '\n              イル・プルー・シュル・ラ・セーヌのクリスマス\n            \n極上の週末']",3.78,445,"<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">月～水曜日</span>",,"
              イル・プルー・シュル・ラ・セーヌのクリスマス
            ","
極上の週末",https://tabelog.com/tokyo/A1303/A130303/13001912/,"['ケーキ', '\n              イル・プルー・シュル・ラ・セーヌのクリスマス\n            \n極上の週末']","['イルプルーシュルラセーヌ', 'クリスマス']","['188712373,188712069,150708190,165925989,150707573']"
41,L'eclaireur,代官山駅 436m,"['フレンチ', '\n              季節の移ろいを感じる、美しい香りと魅力に満ちた一皿。シェフお任せのコースで心躍るひとときを\n            \n最旬コンテンポラリーフレンチ']",3.77,48,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>",,"['感染症対策', 'Tpoint貯まる']","
              季節の移ろいを感じる、美しい香りと魅力に満ちた一皿。シェフお任せのコースで心躍るひとときを
            ","
最旬コンテンポラリーフレンチ",https://tabelog.com/tokyo/A1303/A130303/13261607/,"['フレンチ', '\n              季節の移ろいを感じる、美しい香りと魅力に満ちた一皿。シェフお任せのコースで心躍るひとときを\n            \n最旬コンテンポラリーフレンチ']","['季節', '移ろい', '美しい', '香り', '魅力', '一', '皿', 'シェフ', 'コース', '心', 'ひととき']","['163999806,163999928,163999857,183194441,182789827']"
