rank,name,area,genre,star,rvw_count,dinner_budget,lunch_budget,holiday_data,search_word,pr,review,url,total,divided,img
30,焼肉うしごろ 新宿三丁目店,新宿三丁目駅 178m,"['焼肉', 'ステーキ', 'ホルモン', '\n              【完全個室・半個室ございます。是非お問い合わせ下さい 】◆WEB予約24時間受付中 ■\n            \n新宿のオアシス☆']",3.74,185,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥5,000～￥5,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              【完全個室・半個室ございます。是非お問い合わせ下さい 】◆WEB予約24時間受付中 ■
            ","
新宿のオアシス☆",https://tabelog.com/tokyo/A1304/A130401/13258565/,"['焼肉', 'ステーキ', 'ホルモン', '\n              【完全個室・半個室ございます。是非お問い合わせ下さい 】◆WEB予約24時間受付中 ■\n            \n新宿のオアシス☆']","['完全', '個室', '個室', '是非', '問い合わせ', 'WEB', '予約', '24', '時間', '受付', '中']","['完全', '個室', '個室', '是非', '問い合わせ', 'WEB', '予約', '24', '時間', '受付', '中']"
31,匠　達広,新宿御苑前駅 219m,"['寿司', '和食（その他）', '魚介料理・海鮮料理', '\n              只今、ランチ予約も承っております。伝統と革新を併せ持つ江戸前鮨の真髄を御苑で堪能する。\n            \n新宿御苑前にある匠の味。']",3.74,165,"<span class=""c-rating-v3__val"">￥20,000～￥29,999</span>","<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>",,"['感染症対策', 'Tpoint貯まる']","
              只今、ランチ予約も承っております。伝統と革新を併せ持つ江戸前鮨の真髄を御苑で堪能する。
            ","
新宿御苑前にある匠の味。",https://tabelog.com/tokyo/A1304/A130402/13086506/,"['寿司', '和食（その他）', '魚介料理・海鮮料理', '\n              只今、ランチ予約も承っております。伝統と革新を併せ持つ江戸前鮨の真髄を御苑で堪能する。\n            \n新宿御苑前にある匠の味。']","['只今', 'ランチ', '予約', '伝統', '革新', '江戸前', '鮨', '真髄', '御苑', '堪能']","['只今', 'ランチ', '予約', '伝統', '革新', '江戸前', '鮨', '真髄', '御苑', '堪能']"
34,トラットリア タンタボッカ,北参道駅 107m,"['イタリアン', 'パスタ', 'ステーキ', '\n              12月4日(日)ディナー満席頂戴しております。\n            \nまた出会ってしまったリピートしたくなる絶品イタリアン']",3.73,658,"<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">月曜日　定休日 (月曜日祝日の場合は翌日定休日）</span>",['感染症対策'],"
              12月4日(日)ディナー満席頂戴しております。
            ","
また出会ってしまったリピートしたくなる絶品イタリアン",https://tabelog.com/tokyo/A1304/A130403/13058484/,"['イタリアン', 'パスタ', 'ステーキ', '\n              12月4日(日)ディナー満席頂戴しております。\n            \nまた出会ってしまったリピートしたくなる絶品イタリアン']","['12', '月', '4', '日', '日', 'ディナー', '満席', '頂戴']","['12', '月', '4', '日', '日', 'ディナー', '満席', '頂戴']"
40,煮干中華そば 鈴蘭,新宿三丁目駅 227m,"['つけ麺', 'ラーメン', '油そば', '\n              煮干の旨さ教えます！\n            \n煮干しと味噌の素晴らしいコラボ']",3.72,893,"<span class=""c-rating-v3__val"">～￥999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">無休</span>",,"
              煮干の旨さ教えます！
            ","
煮干しと味噌の素晴らしいコラボ",https://tabelog.com/tokyo/A1304/A130401/13141542/,"['つけ麺', 'ラーメン', '油そば', '\n              煮干の旨さ教えます！\n            \n煮干しと味噌の素晴らしいコラボ']","['煮干', '旨', 'さ']","['煮干', '旨', 'さ']"
41,Paul Bassett 新宿,西新宿駅 255m,"['カフェ', 'ケーキ', 'パン・サンドイッチ（その他）', '\n              世界チャンピオン「ポール・バセット」によるコンセプトカフェ！ テイクアウトドリンクOK♪\n            \nバリスタ世界チャンピオンのカフェ「Paul Bassett」']",3.72,716,"<span class=""c-rating-v3__val"">～￥999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">無休</span>",['感染症対策'],"
              世界チャンピオン「ポール・バセット」によるコンセプトカフェ！ テイクアウトドリンクOK♪
            ","
バリスタ世界チャンピオンのカフェ「Paul Bassett」",https://tabelog.com/tokyo/A1304/A130401/13026041/,"['カフェ', 'ケーキ', 'パン・サンドイッチ（その他）', '\n              世界チャンピオン「ポール・バセット」によるコンセプトカフェ！ テイクアウトドリンクOK♪\n            \nバリスタ世界チャンピオンのカフェ「Paul Bassett」']","['世界', 'チャンピオンポールバセット', 'コンセプト', 'カフェ', 'テイクアウトドリンク', 'OK', '♪']","['世界', 'チャンピオンポールバセット', 'コンセプト', 'カフェ', 'テイクアウトドリンク', 'OK', '♪']"
46,イーグル,新宿西口駅 244m,"['バー', 'ビストロ', 'バル・バール', '\n              新宿駅東口2分◆店の歴史が刻まれたラグジュアリーな空間で、伝統の味と季節のカクテルを嗜む\n            \n新宿の歴史の灯火を消してはならない。']",3.71,419,"<span class=""c-rating-v3__val"">￥3,000～￥3,999</span>","<span class=""c-rating-v3__val"">-</span>",,"['感染症対策', 'Tpoint貯まる']","
              新宿駅東口2分◆店の歴史が刻まれたラグジュアリーな空間で、伝統の味と季節のカクテルを嗜む
            ","
新宿の歴史の灯火を消してはならない。",https://tabelog.com/tokyo/A1304/A130401/13000922/,"['バー', 'ビストロ', 'バル・バール', '\n              新宿駅東口2分◆店の歴史が刻まれたラグジュアリーな空間で、伝統の味と季節のカクテルを嗜む\n            \n新宿の歴史の灯火を消してはならない。']","['新宿', '駅', '東口', '2', '分', '店', '歴史', 'ラグジュアリー', '空間', '伝統', '味', '季節', 'カクテル']","['新宿', '駅', '東口', '2', '分', '店', '歴史', 'ラグジュアリー', '空間', '伝統', '味', '季節', 'カクテル']"
52,ボトルス,北参道駅 161m,"['イタリアン', 'ワインバー', 'パスタ', '\n              落ち着いた空間で大切な方とのお食事を◎リストランテクオリティのカウンターイタリアン\n            \n自分の創作世界に自由に没頭して作りあげる一品']",3.71,59,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              落ち着いた空間で大切な方とのお食事を◎リストランテクオリティのカウンターイタリアン
            ","
自分の創作世界に自由に没頭して作りあげる一品",https://tabelog.com/tokyo/A1304/A130403/13222744/,"['イタリアン', 'ワインバー', 'パスタ', '\n              落ち着いた空間で大切な方とのお食事を◎リストランテクオリティのカウンターイタリアン\n            \n自分の創作世界に自由に没頭して作りあげる一品']","['空間', '大切', '方', '食事', 'リストランテクオリティ', 'カウンター', 'イタリアン']","['空間', '大切', '方', '食事', 'リストランテクオリティ', 'カウンター', 'イタリアン']"
53,バンタイ,新宿西口駅 182m,"['タイ料理', 'タイカレー', 'タイスキ', '\n              西武新宿駅2分◆本場の職人が手掛ける100種以上の本格タイ料理◆愛され続ける老舗の味を堪能\n            \nコスパも味も抜群！']",3.70,1328,"<span class=""c-rating-v3__val"">￥3,000～￥3,999</span>","<span class=""c-rating-v3__val"">～￥999</span>",,"['感染症対策', 'Tpoint貯まる']","
              西武新宿駅2分◆本場の職人が手掛ける100種以上の本格タイ料理◆愛され続ける老舗の味を堪能
            ","
コスパも味も抜群！",https://tabelog.com/tokyo/A1304/A130401/13000085/,"['タイ料理', 'タイカレー', 'タイスキ', '\n              西武新宿駅2分◆本場の職人が手掛ける100種以上の本格タイ料理◆愛され続ける老舗の味を堪能\n            \nコスパも味も抜群！']","['西武', '新宿', '駅', '2', '分', '本場', '職人', '100', '種', '以上', '本格', 'タイ', '料理', '老舗', '味', '堪能']","['西武', '新宿', '駅', '2', '分', '本場', '職人', '100', '種', '以上', '本格', 'タイ', '料理', '老舗', '味', '堪能']"
54,らぁ麺 鳳仙花,新宿西口駅 172m,"['ラーメン', 'つけ麺', '\n              “金目鯛”の旨味が押し寄せるスープは圧巻！ラーメンの後にはサラリと入る“金目鯛茶漬け”で〆\n            \n新宿、歌舞伎町、名物、金目鯛出汁ラーメン！\u3000夏季限定、鱧と金目鯛の冷やしらぁ麺！人気名店、金目...']",3.70,708,"<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">無休(年末年始以外)</span>",,"
              “金目鯛”の旨味が押し寄せるスープは圧巻！ラーメンの後にはサラリと入る“金目鯛茶漬け”で〆
            ","
新宿、歌舞伎町、名物、金目鯛出汁ラーメン！　夏季限定、鱧と金目鯛の冷やしらぁ麺！人気名店、金目...",https://tabelog.com/tokyo/A1304/A130401/13224521/,"['ラーメン', 'つけ麺', '\n              “金目鯛”の旨味が押し寄せるスープは圧巻！ラーメンの後にはサラリと入る“金目鯛茶漬け”で〆\n            \n新宿、歌舞伎町、名物、金目鯛出汁ラーメン！\u3000夏季限定、鱧と金目鯛の冷やしらぁ麺！人気名店、金目...']","['金目', '鯛', '旨味', 'スープ', '圧巻', 'ラーメン', '後', '金目', '鯛', '茶漬け']","['金目', '鯛', '旨味', 'スープ', '圧巻', 'ラーメン', '後', '金目', '鯛', '茶漬け']"
58,古月 新宿,新宿御苑前駅 69m,"['中華料理', '薬膳', '\n              「美味しく食べて心身ともに健やかに」\n            \n本場の上質な味、和に媚びない味']",3.70,321,"<span class=""c-rating-v3__val"">￥6,000～￥7,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>",,"['感染症対策', 'Tpoint貯まる']","
              「美味しく食べて心身ともに健やかに」
            ","
本場の上質な味、和に媚びない味",https://tabelog.com/tokyo/A1304/A130402/13030918/,"['中華料理', '薬膳', '\n              「美味しく食べて心身ともに健やかに」\n            \n本場の上質な味、和に媚びない味']","['美味しく', '心身', 'とも', '健やか']","['美味しく', '心身', 'とも', '健やか']"
