rank,name,area,genre,star,rvw_count,dinner_budget,lunch_budget,holiday_data,search_word,pr,review,url,total,divided,img
28,トラットリア ダイ パエサーニ,面影橋駅 349m,"['イタリアン', 'ワインバー', 'パスタ', '\n              クリスマスコースご予約受付中12月23～26日(24.25日はコースのみで2部制)\n            \nスパイシーな肉が美味しいイタリアン！']",3.71,187,"<span class=""c-rating-v3__val"">￥4,000～￥4,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              クリスマスコースご予約受付中12月23～26日(24.25日はコースのみで2部制)
            ","
スパイシーな肉が美味しいイタリアン！",https://tabelog.com/tokyo/A1305/A130503/13172879/,"['イタリアン', 'ワインバー', 'パスタ', '\n              クリスマスコースご予約受付中12月23～26日(24.25日はコースのみで2部制)\n            \nスパイシーな肉が美味しいイタリアン！']","['クリスマス', 'コース', '予約', '受付', '中', '12', '月', '23', '～', '26', '日', '2425', '日', 'コース', '2', '部', '制']","['45007720,44827796,170190019,185937210,170190061']"
32,PIZZA BORSA,池袋駅 446m,"['ピザ', 'イタリアン', '\n              ■サクサクふわもち生地の釜焼きPIZZA■職人が毎日生地を仕込みます■本格PIZZA！\n            \nボルサ\u3000～ こんな場所に在るのがもったいない☆☆ ～']",3.69,451,"<span class=""c-rating-v3__val"">￥2,000～￥2,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">無休（年末年始12/31〜1/4ランチまで休み1／4デ...</span>",['感染症対策'],"
              ■サクサクふわもち生地の釜焼きPIZZA■職人が毎日生地を仕込みます■本格PIZZA！
            ","
ボルサ　～ こんな場所に在るのがもったいない☆☆ ～",https://tabelog.com/tokyo/A1305/A130501/13170403/,"['ピザ', 'イタリアン', '\n              ■サクサクふわもち生地の釜焼きPIZZA■職人が毎日生地を仕込みます■本格PIZZA！\n            \nボルサ\u3000～ こんな場所に在るのがもったいない☆☆ ～']","['生地', '釜', '焼き', 'PIZZA', '職人', '毎日', '生地', '本格', 'PIZZA']","['42562634,42562639,42562710,42562727,42562873']"
42,東京らっきょブラザーズ,早稲田（メトロ）駅 89m,"['スープカレー', 'カフェ', '洋食', '\n              【早稲田駅より徒歩1分】北海道札幌発の本格スープカレー。月替わりメニュー大好評\n            \nスパイスの旨味を感じるスープカレー']",3.67,335,"<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              【早稲田駅より徒歩1分】北海道札幌発の本格スープカレー。月替わりメニュー大好評
            ","
スパイスの旨味を感じるスープカレー",https://tabelog.com/tokyo/A1305/A130504/13040401/,"['スープカレー', 'カフェ', '洋食', '\n              【早稲田駅より徒歩1分】北海道札幌発の本格スープカレー。月替わりメニュー大好評\n            \nスパイスの旨味を感じるスープカレー']","['早稲田', '駅', '徒歩', '1', '分', '北海道', '札幌', '発', '本格', 'スープ', 'カレー', '月', '替わり', 'メニュー', '好評']","['83134795,83134783,60565871,121182355,148010918']"
43,炭火焼珈琲 蔵,池袋駅 329m,"['喫茶店', 'コーヒー専門店', 'カフェ', '\n              池袋駅3分◆水出しのアイス珈琲や自家焙煎の珈琲を堪能する。昔ながらのモダンな店内で…\n            \n西池袋１丁目、「炭煎珈琲 蔵」。【14th】']",3.67,303,"<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">年末年始　1/1・1/2のみ休業</span>",['感染症対策'],"
              池袋駅3分◆水出しのアイス珈琲や自家焙煎の珈琲を堪能する。昔ながらのモダンな店内で…
            ","
西池袋１丁目、「炭煎珈琲 蔵」。【14th】",https://tabelog.com/tokyo/A1305/A130501/13089625/,"['喫茶店', 'コーヒー専門店', 'カフェ', '\n              池袋駅3分◆水出しのアイス珈琲や自家焙煎の珈琲を堪能する。昔ながらのモダンな店内で…\n            \n西池袋１丁目、「炭煎珈琲 蔵」。【14th】']","['池袋', '駅', '3', '分', '水出', 'しの', 'アイス', '珈琲', '自家', '珈琲', '堪能', 'モダン', '店内']","['128551726,128551684,128551635,128551650,128551646']"
48,うなぎ 目白ぞろ芽,目白駅 129m,"['うなぎ', '\n              ＜目白駅近く＞“幻”の【共水うなぎ】が放つ甘い香りと濃厚な旨味に、そっと身をゆだねて…。\n            \n目白\u3000うなぎの百名店\u3000\u3000ぞろ芽で共水うなぎのコースを堪能 ']",3.67,164,"<span class=""c-rating-v3__val"">￥5,000～￥5,999</span>","<span class=""c-rating-v3__val"">￥3,000～￥3,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              ＜目白駅近く＞“幻”の【共水うなぎ】が放つ甘い香りと濃厚な旨味に、そっと身をゆだねて…。
            ","
目白　うなぎの百名店　　ぞろ芽で共水うなぎのコースを堪能 ",https://tabelog.com/tokyo/A1305/A130502/13224277/,"['うなぎ', '\n              ＜目白駅近く＞“幻”の【共水うなぎ】が放つ甘い香りと濃厚な旨味に、そっと身をゆだねて…。\n            \n目白\u3000うなぎの百名店\u3000\u3000ぞろ芽で共水うなぎのコースを堪能 ']","['目白', '駅', '近く', '幻', '水', 'うなぎ', '甘い', '香り', '濃厚', '旨味', '身']","['90268596,90268598,90268555,90268595,90268520']"
55,あんぷく 池袋店,池袋駅 333m,"['うどん', '居酒屋', 'カレーうどん', '\n              和ダシが効いた『名物カルボナーラうどん』\n            \n名物カルボナーラうどん']",3.65,634,"<span class=""c-rating-v3__val"">￥2,000～￥2,999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">年末年始</span>",['感染症対策'],"
              和ダシが効いた『名物カルボナーラうどん』
            ","
名物カルボナーラうどん",https://tabelog.com/tokyo/A1305/A130501/13097934/,"['うどん', '居酒屋', 'カレーうどん', '\n              和ダシが効いた『名物カルボナーラうどん』\n            \n名物カルボナーラうどん']","['和', 'ダシ', '名物', 'カルボナーラ', 'うどん']","['20783496,154945749,154945105,154945028,134481794']"
67,生粋 池袋本店,池袋駅 409m,"['ラーメン', 'つけ麺', '\n              ひとつ上行く「上」麺が旨い、自慢のさんまラーメン。各線池袋駅より徒歩5分、\n            \n焼きさんまの旨味が凝縮したラーメン、と言う他ない']",3.62,501,"<span class=""c-rating-v3__val"">～￥999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">火曜日</span>",,"
              ひとつ上行く「上」麺が旨い、自慢のさんまラーメン。各線池袋駅より徒歩5分、
            ","
焼きさんまの旨味が凝縮したラーメン、と言う他ない",https://tabelog.com/tokyo/A1305/A130501/13005588/,"['ラーメン', 'つけ麺', '\n              ひとつ上行く「上」麺が旨い、自慢のさんまラーメン。各線池袋駅より徒歩5分、\n            \n焼きさんまの旨味が凝縮したラーメン、と言う他ない']","['ひとつ', '上', '上', '麺', '旨い', '自慢', 'さんま', 'ラーメン', '各線', '池袋', '駅', '徒歩', '5', '分']","['170143078,170143096,170143167,170143178,170143147']"
68,炭火焼肉 あもん,池袋駅 613m,"['焼肉', 'ホルモン', '\n              【池袋で20年以上愛されております、本格炭火焼肉屋です】\n            \nコスパ最高の絶品ランチ']",3.62,327,"<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">年中無休(12/31～1/1,2,3休み)</span>",['感染症対策'],"
              【池袋で20年以上愛されております、本格炭火焼肉屋です】
            ","
コスパ最高の絶品ランチ",https://tabelog.com/tokyo/A1305/A130501/13019476/,"['焼肉', 'ホルモン', '\n              【池袋で20年以上愛されております、本格炭火焼肉屋です】\n            \nコスパ最高の絶品ランチ']","['池袋', '20', '年', '以上', '本格', '炭火', '焼肉', '屋']","['63036822,62327682,172606138,133397817,133397183']"
76,鷹流 高田馬場店,高田馬場駅 291m,"['つけ麺', '油そば', 'ラーメン', '\n              世界一のラーメン激戦区高田馬場で一番あっさり、ヘルシーな美肌ラーメン！！ 塩鶏そば「鷹流」\n            \nラーメン激戦区高田馬場の片隅。もっと評価されていい店。']",3.60,305,"<span class=""c-rating-v3__val"">～￥999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">月曜日定休日　※スープ・麺・食材等が終了したり悪天候場...</span>",,"
              世界一のラーメン激戦区高田馬場で一番あっさり、ヘルシーな美肌ラーメン！！ 塩鶏そば「鷹流」
            ","
ラーメン激戦区高田馬場の片隅。もっと評価されていい店。",https://tabelog.com/tokyo/A1305/A130503/13058985/,"['つけ麺', '油そば', 'ラーメン', '\n              世界一のラーメン激戦区高田馬場で一番あっさり、ヘルシーな美肌ラーメン！！ 塩鶏そば「鷹流」\n            \nラーメン激戦区高田馬場の片隅。もっと評価されていい店。']","['世界一', 'ラーメン', '激戦', '区', '高田馬場', '一番', 'ヘルシー', '美肌', 'ラーメン', '塩', '鶏', 'そば', '鷹', '流']","['40420320,40420293,40420294,40420295,40420307']"
83,環七土佐っ子ラーメン,池袋駅 357m,"['ラーメン', '中華麺（その他）', 'つけ麺', '\n              感動との出会い☆池袋北口・西口徒歩3分。地元で愛される環七土佐っ子ラーメン♪☆\n            \n土佐っ子ラーメンと焼餃子']",3.58,425,"<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""c-rating-v3__val"">～￥999</span>","<span class=""list-rst__holiday-text"">無休</span>",,"
              感動との出会い☆池袋北口・西口徒歩3分。地元で愛される環七土佐っ子ラーメン♪☆
            ","
土佐っ子ラーメンと焼餃子",https://tabelog.com/tokyo/A1305/A130501/13016969/,"['ラーメン', '中華麺（その他）', 'つけ麺', '\n              感動との出会い☆池袋北口・西口徒歩3分。地元で愛される環七土佐っ子ラーメン♪☆\n            \n土佐っ子ラーメンと焼餃子']","['感動', '出会い', '池袋', '北口', '西口', '徒歩', '3', '分', '地元', '環', '七', '土佐', 'っ子', 'ラーメン', '♪☆']","['18436337,24866502,18436336,18436338,18436342']"
